Unnamed: 0,id,name,year,certificate,runtime,genre,ratings
5,tt18335752,1923,(2022–2023),TV-MA,60.0,"
Drama, Western            ",8.5
9,tt4236770,Yellowstone,(2018–2023),TV-MA,60.0,"
Drama, Western            ",8.7
11,tt13406094,The White Lotus,(2021–2023),TV-MA,60.0,"
Comedy, Drama            ",7.9
13,tt7660850,Succession,(2018–2023),TV-MA,60.0,"
Drama            ",8.8
21,tt2077823,Perry Mason,(2020– ),TV-MA,60.0,"
Crime, Drama, History            ",7.6
26,tt1474684,Luther,(2010–2019),TV-MA,60.0,"
Crime, Drama, Mystery            ",8.4
27,tt11041332,Yellowjackets,(2021– ),TV-MA,60.0,"
Drama, Horror, Mystery            ",7.9
34,tt1190634,The Boys,(2019– ),TV-MA,60.0,"
Action, Comedy, Crime            ",8.7
43,tt0364845,NCIS,(2003– ),TV-14,60.0,"
Action, Crime, Drama            ",7.8
44,tt0203259,Law & Order: Special Victims Unit,(1999– ),TV-14,60.0,"
Crime, Drama, Mystery            ",8.1
46,tt2701582,Endeavour,(2012–2023),TV-14,89.0,"
Crime, Drama, Mystery            ",8.6
51,tt2442560,Peaky Blinders,(2013–2022),TV-MA,60.0,"
Crime, Drama            ",8.8
54,tt3006802,Outlander,(2014– ),TV-MA,60.0,"
Drama, Fantasy, Romance            ",8.4
64,tt4179452,The Last Kingdom,(2015–2022),TV-MA,60.0,"
Action, Drama, History            ",8.5
69,tt4276618,C.B. Strike,(2017– ),TV-MA,60.0,"
Crime, Drama, Mystery            ",7.9
71,tt1888075,Death in Paradise,(2011– ),TV-PG,60.0,"
Comedy, Crime, Drama            ",7.8
72,tt2403776,Shadow and Bone,(2021– ),TV-14,60.0,"
Action, Adventure, Drama            ",7.6
86,tt13980362,Wrong Side of the Tracks,(2021– ),TV-MA,79.0,"
Action, Adventure, Crime            ",6.8
87,tt2085059,Black Mirror,(2011–2019),TV-MA,60.0,"
Drama, Mystery, Sci-Fi            ",8.8
89,tt0118401,Midsomer Murders,(1997– ),TV-14,90.0,"
Crime, Drama, Mystery            ",7.9
105,tt1844624,American Horror Story,(2011– ),TV-MA,60.0,"
Drama, Horror, Sci-Fi            ",8.0
108,tt15428778,Mayfair Witches,(2023– ),TV-MA,60.0,"
Drama, Fantasy, Horror            ",6.3
117,tt5834204,The Handmaid's Tale,(2017– ),TV-MA,60.0,"
Drama, Sci-Fi, Thriller            ",8.4
128,tt5071412,Ozark,(2017–2022),TV-MA,60.0,"
Crime, Drama, Thriller            ",8.5
129,tt1466074,Columbo,(1971–2003),TV-PG,100.0,"
Crime, Drama, Mystery            ",8.3
132,tt5180504,The Witcher,(2019– ),TV-MA,60.0,"
Action, Adventure, Drama            ",8.1
133,tt5171438,Star Trek: Discovery,(2017–2024),TV-14,60.0,"
Action, Adventure, Drama            ",7.0
136,tt5057054,Tom Clancy's Jack Ryan,(2018– ),TV-MA,60.0,"
Action, Drama, Thriller            ",8.0
144,tt12887536,CSI: Vegas,(2021– ),TV-14,60.0,"
Crime, Drama, Mystery            ",7.5
165,tt0475784,Westworld,(2016–2022),TV-MA,62.0,"
Drama, Mystery, Sci-Fi            ",8.5
169,tt5607976,His Dark Materials,(2019–2022),TV-14,60.0,"
Adventure, Drama, Family            ",7.8
178,tt7456722,Hunters,(2020–2023),TV-MA,60.0,"
Crime, Drama, Mystery            ",7.2
181,tt3850598,BMF,(2021– ),TV-MA,60.0,"
Biography, Crime, Drama            ",7.5
184,tt11794642,Big Sky,(2020– ),TV-14,60.0,"
Crime, Drama, Mystery            ",6.8
187,tt7491982,FBI,(2018– ),TV-14,60.0,"
Action, Crime, Drama            ",7.0
191,tt0050051,Perry Mason,(1957–1966),TV-PG,60.0,"
Crime, Drama, Mystery            ",8.3
193,tt1693592,Vera,(2011– ),TV-PG,90.0,"
Crime, Drama, Mystery            ",8.1
196,tt1475582,Sherlock,(2010–2017),TV-14,88.0,"
Crime, Drama, Mystery            ",9.1
200,tt3230854,The Expanse,(2015–2022),TV-14,60.0,"
Drama, Mystery, Sci-Fi            ",8.5
202,tt8740790,Bridgerton,(2020– ),TV-MA,60.0,"
Drama, History, Romance            ",7.4
203,tt7203552,The Morning Show,(I) (2019– ),TV-MA,60.0,"
Drama            ",8.2
207,tt7053188,Station 19,(2018– ),TV-14,60.0,"
Action, Drama, Romance            ",6.9
208,tt0279600,Smallville,(2001–2011),TV-PG,60.0,"
Action, Adventure, Drama            ",7.5
211,tt5753856,Dark,(2017–2020),TV-MA,60.0,"
Crime, Drama, Mystery            ",8.7
224,tt4270492,Billions,(2016– ),TV-MA,60.0,"
Drama            ",8.4
225,tt0368530,One Tree Hill,(2003–2012),TV-14,60.0,"
Drama, Romance, Sport            ",7.8
230,tt1983079,Call the Midwife,(2012– ),TV-PG,60.0,"
Drama, History            ",8.6
235,tt2934286,Halo,(2022– ),TV-14,60.0,"
Action, Adventure, Sci-Fi            ",7.1
236,tt2017109,Banshee,(2013–2016),TV-MA,60.0,"
Action, Crime, Drama            ",8.4
238,tt5290382,Mindhunter,(2017–2019),TV-MA,60.0,"
Crime, Drama, Mystery            ",8.6
240,tt6468322,Money Heist,(2017–2021),TV-MA,70.0,"
Action, Crime, Drama            ",8.2
241,tt4565380,Fauda,(2015– ),TV-MA,60.0,"
Action, Drama, Thriller            ",8.3
242,tt1312171,The Umbrella Academy,(2019–2023),TV-14,60.0,"
Action, Adventure, Comedy            ",7.9
243,tt1843230,Once Upon a Time,(2011–2018),TV-PG,60.0,"
Adventure, Fantasy, Romance            ",7.7
263,tt2699128,The Leftovers,(2014–2017),TV-MA,60.0,"
Drama, Fantasy, Mystery            ",8.3
267,tt7772588,For All Mankind,(2019– ),TV-MA,60.0,"
Drama, Sci-Fi            ",8.0
271,tt9319668,1899,(2022– ),TV-MA,60.0,"
Drama, Horror, Mystery            ",7.4
273,tt0247082,CSI: Crime Scene Investigation,(2000–2015),TV-14,60.0,"
Crime, Drama, Mystery            ",7.7
280,tt0047736,Gunsmoke,(1955–1975),TV-PG,60.0,"
Western            ",8.1
288,tt3920596,Big Little Lies,(2017–2019),TV-MA,60.0,"
Crime, Drama, Mystery            ",8.5
301,tt6483832,The Resident,(2018– ),TV-14,60.0,"
Drama            ",7.8
303,tt14852808,The Watcher,(2022– ),TV-MA,332.0,"
Drama, Horror, Mystery            ",6.5
312,tt0094525,Poirot,(1989–2013),TV-14,100.0,"
Crime, Drama, Mystery            ",8.6
313,tt0072562,Saturday Night Live,(1975– ),TV-14,90.0,"
Comedy, Music            ",8.0
